name,university,university_state,carnegie,discipline,quality,num_ratings,would_take_again_pct,difficulty,rmp_url,current_title,rank,phd_year,tenure_year,tenure_year_source,confidence,confidence_label,llm_notes,stage1_title
Arkady Yerukhimovich,George Washington University,DC,R1,Computer Science,4.4,7,85.7143,4.1,https://www.ratemyprofessors.com/professor/2879727,Associate Professor,Associate Professor,2011.0,2023,asst_prof_plus_6,0.7,medium,"Dr. Yerukhimovich joined GWU as an Assistant Professor in 2018, suggesting tenure around 2024, but the NSF CAREER Award in 2023 indicates he was likely tenured around that time.",Associate Professor
Timothy Wood,George Washington University,DC,R1,Computer Science,4.8,5,100.0,2.6,https://www.ratemyprofessors.com/professor/1606847,Associate Professor,Associate Professor,2011.0,2017,explicit,0.95,high,Tenure year is explicitly mentioned as 2017 when he was promoted to Associate Professor with tenure.,Professor
Grace Hui Yang,Georgetown University,DC,R1,Computer Science,3.0,20,52.6316,3.8,https://www.ratemyprofessors.com/professor/1837668,Associate Professor,Associate Professor,2011.0,2017,asst_prof_plus_6,0.7,medium,Tenure is estimated based on the assumption that she was promoted to Associate Professor approximately six years after her appointment as Assistant Professor.,Associate Professor
Gina Sprint,Gonzaga University,WA,R2,Computer Science,4.7,17,94.1176,3.3,https://www.ratemyprofessors.com/professor/2361605,Associate Professor,Associate Professor,2016.0,2022,promotion_year,0.9,high,"Promoted to Associate Professor in August 2022, suggesting tenure was achieved in the same year.","Associate Professor, Computer Science"
Yanping Zhang,Gonzaga University,WA,R2,Computer Science,2.2,13,0.0,3.6,https://www.ratemyprofessors.com/professor/1775095,Chair of the Computer Science Department,Full Professor,2012.0,2018,asst_prof_plus_6,0.7,medium,Estimated tenure year based on the assumption of achieving tenure approximately six years after starting as an assistant professor.,"Chair & Professor, Computer Science"
Xingya Liu,Lamar University,TX,R2,Computer Science,4.2,26,84.6154,3.4,https://www.ratemyprofessors.com/professor/2273073,Associate Professor,Associate Professor,2017.0,2023,asst_prof_plus_6,0.7,medium,Tenure year estimated based on the typical 6-year timeline for tenure-track faculty.,Associate Professor
Sujing Wang,Lamar University,TX,R2,Computer Science,2.7,13,33.3333,2.6,https://www.ratemyprofessors.com/professor/1244066,Associate Professor and Graduate Program Director,Associate Professor,2014.0,2020,promotion_year,0.9,high,"Dr. Wang was promoted to Associate Professor in 2020, indicating her tenure evaluation likely occurred that year.",Associate Professor
Timothy Roden,Lamar University,TX,R2,Computer Science,3.7,11,75.0,3.1,https://www.ratemyprofessors.com/professor/1954907,Associate Professor,Associate Professor,,2019,asst_prof_plus_6,0.7,medium,"Dr. Roden was an Assistant Professor from 2012 to 2013 and became an Associate Professor in 2013. Assuming a typical 6-year probationary period for tenure, he likely received tenure around 2019.",Associate Professor
Jing Zhang,Lamar University,TX,R2,Computer Science,3.7,10,62.5,2.5,https://www.ratemyprofessors.com/professor/2004787,Chair of the Department of Computer Science,Associate Professor,2012.0,2020,asst_prof_plus_6,0.7,medium,"Tenure year inferred as 2020, six years after starting as Assistant Professor in 2014.",Professor
Anas Nash Mahmoud,Louisiana State University,LA,R1,Computer Science,4.9,44,97.561,2.8,https://www.ratemyprofessors.com/professor/2131622,Associate Professor,Associate Professor,2014.0,2020,asst_prof_plus_6,0.7,medium,Estimated tenure year based on the assumption that he became an Associate Professor in 2014 and tenure is typically awarded after six years.,Associate Professor
Salvador Barbosa,Middle Tennessee State University,TN,R2,Computer Science,4.1,31,82.1429,3.4,https://www.ratemyprofessors.com/professor/2060211,Associate Professor,Associate Professor,2014.0,2021,explicit,0.95,high,Dr. Barbosa was explicitly mentioned to have been granted tenure in 2021.,Associate Professor
Rafet Al-Tobasei,Middle Tennessee State University,TN,R2,Computer Science,3.4,22,55.0,3.1,https://www.ratemyprofessors.com/professor/1769592,Associate Professor,Associate Professor,2017.0,2025,explicit,0.95,high,Tenured and promoted to Associate Professor in 2025 as explicitly mentioned in the sources.,Associate Professor
Yi Gu,Middle Tennessee State University,TN,R2,Computer Science,4.6,17,88.2353,1.7,https://www.ratemyprofessors.com/professor/2118055,Associate Professor,Associate Professor,2011.0,2018,explicit,0.95,high,Dr. Gu was explicitly mentioned to have been promoted and tenured to Associate Professor in 2018.,Associate Professor
Joshua Phillips,Middle Tennessee State University,TN,R2,Computer Science,4.4,16,87.5,3.8,https://www.ratemyprofessors.com/professor/2123328,Associate Professor,Associate Professor,2012.0,2020,promotion_year,0.9,high,Dr. Phillips was promoted and tenured to Associate Professor in 2020.,Professor
Eric Sakk,Morgan State University,MD,R2,Computer Science,3.3,12,50.0,3.1,https://www.ratemyprofessors.com/professor/1346755,Associate Professor,Associate Professor,,2021,asst_prof_plus_6,0.7,medium,"Dr. Sakk was listed as an Assistant Professor in the 2015-2016 academic catalog, suggesting he began his tenure around 2015. Assuming a typical 6-year probationary period for tenure, this places his tenure year around 2021.",Associate Professor
David Sontag,New York University,NY,R1,Computer Science,2.6,34,75.0,4.6,https://www.ratemyprofessors.com/professor/1797333,Assistant Professor of Computer Science and Data Science,Associate Professor,2010.0,2022,promotion_year,0.9,high,"Dr. Sontag was promoted to Associate Professor in 2022, which is explicitly mentioned.",Associate Professor
Guido Lang,Quinnipiac University,CT,R2,Computer Science,4.9,31,94.4444,1.5,https://www.ratemyprofessors.com/professor/1813676,Professor and Chair of the Department of Business Analytics and Information Systems,Full Professor,2012.0,2018,promotion_year,0.9,high,"Dr. Lang was promoted to Associate Professor in August 2018, which is when he became tenured.",Professor of Business Analytics and Information Systems and Chair of Business Analytics and Information Systems
Tamilla Triantoro,Quinnipiac University,CT,R2,Computer Science,4.5,18,94.4444,1.9,https://www.ratemyprofessors.com/professor/2318706,Associate Professor of Business Analytics and Information Systems,Associate Professor,,2021,explicit,0.95,high,Dr. Triantoro was explicitly mentioned to have been granted tenure in April 2021.,Associate Professor of Business Analytics and Information Systems
Brian O'Neill,Quinnipiac University,CT,R2,Computer Science,4.9,8,100.0,3.0,https://www.ratemyprofessors.com/professor/3009890,Associate Professor of Computer Science,Associate Professor,,2020,asst_prof_plus_6,0.7,medium,"Promotion to Associate Professor likely occurred around 2020, six years after starting as Assistant Professor in January 2014.",Associate Dean of the School of Computing and Engineering and Associate Professor of Computer Science
Chetan Jaiswal,Quinnipiac University,CT,R2,Computer Science,3.8,8,75.0,3.8,https://www.ratemyprofessors.com/professor/2843073,Associate Professor of Computer Science,Associate Professor,2016.0,2022,assoc_prof_start,0.85,high,"Dr. Jaiswal became an Associate Professor at Quinnipiac University in August 2022, which aligns with the tenure timeline for an Associate Professor.",Associate Professor of Computer Science and Associate Chair of Computing
Bobby McCloud,Sacred Heart University,CT,R2,Computer Science,3.7,42,83.3333,2.1,https://www.ratemyprofessors.com/professor/94940,Associate Professor and Associate Dean,Associate Professor,2015.0,2021,promotion_year,0.9,high,"Dr. McCloud was promoted to Associate Professor in April 2021, which indicates he became tenured at that time.",Associate Professor
Mohsen Javadian,Texas Southern University,TX,R2,Computer Science,3.2,18,20.0,2.7,https://www.ratemyprofessors.com/professor/649858,Associate Professor,Associate Professor,,2016,asst_prof_plus_6,0.7,medium,Estimated tenure year based on assumption of starting tenure-track position around 2010 and achieving tenure by 2016.,Associate Professor
Fahad Dogar,Tufts University,MA,R1,Computer Science,3.9,10,66.6667,3.8,https://www.ratemyprofessors.com/professor/2098759,Associate Professor,Associate Professor,2012.0,2026,promotion_year,0.9,high,"Dr. Dogar was promoted to Associate Professor in 2026, which indicates his tenure year.",Associate Professor
Mahmut Unan,University of Alabama at Birmingham,AL,R1,Computer Science,4.8,98,95.9184,3.1,https://www.ratemyprofessors.com/professor/2444442,Associate Professor and Graduate Program Director,Associate Professor,,2024,asst_prof_plus_6,0.7,medium,Dr. Unan joined as an Assistant Professor in 2018; estimating tenure after 6 years leads to 2024.,Associate Professor and Graduate Program Director (MS/Certificate)
Trinabh Gupta,"University of California, Santa Barbara",CA,R1,Computer Science,1.8,6,33.3333,4.2,https://www.ratemyprofessors.com/professor/2603957,Associate Professor,Associate Professor,2017.0,2024,promotion_year,0.9,high,Dr. Gupta was promoted to Associate Professor in November 2024.,Associate Professor
Trinabh Gupta,"University of California, Santa Cruz",CA,R1,Computer Science,1.8,6,33.3333,4.2,https://www.ratemyprofessors.com/professor/2603957,Assistant Professor,Associate Professor,2017.0,2024,explicit,0.95,high,Dr. Gupta was explicitly mentioned to have been promoted to Associate Professor with tenure in July 2024.,Associate Professor
Vamsi Paruchuri,University of Central Arkansas,AR,R2,Computer Science,3.8,73,66.6667,2.2,https://www.ratemyprofessors.com/professor/1056727,Professor,Full Professor,,2017,asst_prof_plus_6,0.7,medium,Tenure likely granted around 2017 based on the assumption of joining UCA before 2011 and typical tenure timeline.,Professor of Computer Science and Engineering
Gowtham Atluri,University of Cincinnati,OH,R1,Computer Science,3.7,9,77.7778,4.1,https://www.ratemyprofessors.com/professor/2234536,Associate Professor,Associate Professor,2014.0,2022,asst_prof_plus_6,0.7,medium,Estimated tenure year based on the assumption of a typical 6-year period from the start as Assistant Professor in 2016.,Associate Professor
Swastik Brahma,University of Cincinnati,OH,R1,Computer Science,3.0,7,57.1429,3.6,https://www.ratemyprofessors.com/professor/2943511,Associate Professor,Associate Professor,,2022,explicit,0.95,high,"Dr. Swastik Brahma was explicitly mentioned as a tenured Associate Professor at the University of Cincinnati starting August 15, 2022.",Associate Professor
Lena Mashayekhy,University of Delaware,DE,R1,Computer Science,4.3,15,86.6667,3.3,https://www.ratemyprofessors.com/professor/2230514,Associate Professor,Associate Professor,,2021,asst_prof_plus_6,0.7,medium,Tenure year estimated based on the assumption of achieving tenure approximately six years after starting as an Assistant Professor in Fall 2015.,Associate Professor
Xi Peng,University of Delaware,DE,R1,Computer Science,4.7,15,80.0,3.7,https://www.ratemyprofessors.com/professor/2509974,Associate Professor,Associate Professor,2018.0,2025,explicit,0.95,high,"Tenure was explicitly mentioned as effective September 1, 2025.",Associate Professor
Rui Zhang,University of Delaware,DE,R1,Computer Science,2.5,13,30.7692,3.9,https://www.ratemyprofessors.com/professor/2185495,Associate Professor,Associate Professor,2013.0,2021,explicit,0.95,high,Rui Zhang was explicitly mentioned to have been promoted to Associate Professor with tenure in 2021.,Associate Professor
Guangmo Tong,University of Delaware,DE,R1,Computer Science,2.1,9,22.2222,4.6,https://www.ratemyprofessors.com/professor/2496355,Associate Professor,Associate Professor,2018.0,2024,explicit,0.95,high,"Dr. Tong was explicitly mentioned to be promoted to Associate Professor with tenure effective September 1, 2024.",Associate Professor
Roghayeh Barmaki,University of Delaware,DE,R1,Computer Science,2.8,9,33.3333,2.7,https://www.ratemyprofessors.com/professor/2496465,Associate Professor,Associate Professor,2016.0,2025,promotion_year,0.9,high,"Dr. Barmaki was promoted to Associate Professor with tenure effective September 1, 2025.",Associate Professor
James Clause,University of Delaware,DE,R1,Computer Science,3.6,9,66.6667,2.2,https://www.ratemyprofessors.com/professor/1922105,Associate Professor,Associate Professor,2011.0,2017,explicit,0.95,high,"Dr. James Clause was explicitly mentioned to have been promoted to Associate Professor with tenure effective September 1, 2017.",Associate Professor
Amin Alipour,University of Houston,TX,R1,Computer Science,1.5,11,9.0909,4.6,https://www.ratemyprofessors.com/professor/2452945,Associate Professor,Associate Professor,2017.0,2023,asst_prof_plus_6,0.7,medium,Estimated tenure year based on the assumption that tenure is awarded approximately six years after starting as an Assistant Professor.,Associate Professor
Drew Davidson,University of Kansas,KS,R1,Computer Science,3.9,25,76.0,3.8,https://www.ratemyprofessors.com/professor/2441770,Associate Professor,Associate Professor,2016.0,2021,promotion_year,0.9,high,Drew Davidson was promoted to Associate Professor with tenure in August 2021.,Associate Professor
Morteza Hashemi,University of Kansas,KS,R1,Computer Science,2.5,15,40.0,3.8,https://www.ratemyprofessors.com/professor/2836198,Associate Professor,Associate Professor,2015.0,2025,asst_prof_plus_6,0.7,medium,Estimated tenure year based on the assumption that Dr. Hashemi became an Assistant Professor in January 2019 and typically achieves tenure after approximately six years.,Associate Professor
Tinoosh Mohsenin,University of Maryland Baltimore County,MD,R2,Computer Engineering,3.8,10,62.5,2.9,https://www.ratemyprofessors.com/professor/1893433,Associate Professor,Associate Professor,2010.0,2024,promotion_year,0.9,high,"Dr. Mohsenin was promoted to Associate Professor in June 2018 and served until July 2023, indicating she became tenured in 2024.",Associate Professor
Brian Dorn,University of Nebraska Omaha,NE,R2,Computer Science,2.6,30,31.8182,4.4,https://www.ratemyprofessors.com/professor/1847926,Associate Professor of Computer Science,Associate Professor,2010.0,2016,asst_prof_plus_6,0.7,medium,Estimated tenure year based on assumption of starting as Assistant Professor in 2010 and achieving tenure after 6 years.,Associate Professor
Brian Ricks,University of Nebraska Omaha,NE,R2,Computer Science,4.1,22,80.0,2.9,https://www.ratemyprofessors.com/professor/2140326,Associate Professor of Computer Science,Associate Professor,2013.0,2023,promotion_year,0.9,high,"Promoted to Associate Professor in 2023, indicating tenure was granted at that time.",Associate Professor
Yuliya Lierler,University of Nebraska Omaha,NE,R2,Computer Science,2.4,17,27.2727,3.5,https://www.ratemyprofessors.com/professor/1852383,Professor,Full Professor,2010.0,2018,promotion_year,0.9,high,"Dr. Lierler was promoted to Associate Professor in 2018, which is when she became tenured.",Professor
Pei-Chi Huang,University of Nebraska Omaha,NE,R2,Computer Science,1.6,8,12.5,4.5,https://www.ratemyprofessors.com/professor/2474967,Associate Professor,Associate Professor,2017.0,2024,asst_prof_plus_6,0.7,medium,Estimated tenure year based on the common practice of considering tenure after approximately six years from the start as Assistant Professor.,Associate Professor
Adlai Depano,University of New Orleans,LA,R2,Computer Science,3.3,22,60.0,2.5,https://www.ratemyprofessors.com/professor/148032,Associate Professor of Computer Science,Associate Professor,,2017,promotion_year,0.9,high,Promotion to Associate Professor noted in the 2017-2018 Undergraduate/Graduate Catalog.,"Associate Professor, Undergraduate Coordinator"
Cynthia Sturton,University of North Carolina at Chapel Hill,NC,R1,Computer Science,1.7,31,19.3548,3.3,https://www.ratemyprofessors.com/professor/2549175,Associate Professor,Associate Professor,2015.0,2026,asst_prof_plus_6,0.7,medium,"Sturton was appointed as Assistant Professor in 2020 and was promoted to Associate Professor by 2023, suggesting tenure was achieved approximately six years after her initial appointment.",Associate Professor
Shahriar Nirjon,University of North Carolina at Chapel Hill,NC,R1,Computer Science,2.9,21,47.619,3.4,https://www.ratemyprofessors.com/professor/2290678,Associate Professor,Associate Professor,,2021,asst_prof_plus_6,0.7,medium,Assumed tenure year based on estimated start as Assistant Professor around 2015.,Associate Professor
Junier Oliva,University of North Carolina at Chapel Hill,NC,R1,Computer Science,2.9,13,38.4615,4.3,https://www.ratemyprofessors.com/professor/2604036,Associate Professor,Associate Professor,,2025,asst_prof_plus_6,0.7,medium,Estimated tenure year based on assumption of starting as Assistant Professor in 2019 and typical 6-year tenure track.,Associate Professor
Daniel Szafir,University of North Carolina at Chapel Hill,NC,R1,Computer Science,3.6,11,72.7273,2.3,https://www.ratemyprofessors.com/professor/2717843,Associate Professor,Associate Professor,2015.0,2023,promotion_year,0.9,high,"Dr. Szafir was promoted to Associate Professor in 2023, indicating he became tenured that year.",Associate Professor
Snigdha Chaturvedi,University of North Carolina at Chapel Hill,NC,R1,Computer Science,2.3,6,33.3333,4.7,https://www.ratemyprofessors.com/professor/2951785,Associate Professor,Associate Professor,2016.0,2024,asst_prof_plus_6,0.7,medium,"Dr. Chaturvedi joined UNC-Chapel Hill as an Associate Professor, likely receiving tenure around 2024 based on typical tenure timelines after serving as an Assistant Professor.",Associate Professor
Erin Walker,University of Pittsburgh,PA,R1,Computer Science,1.8,19,15.7895,4.9,https://www.ratemyprofessors.com/professor/2483140,Associate Professor,Associate Professor,2010.0,2018,promotion_year,0.9,high,Dr. Walker was promoted to Associate Professor in August 2018.,"Associate Dean for Research, Professor"
Xiaowei Jia,University of Pittsburgh,PA,R1,Computer Science,2.6,10,40.0,2.4,https://www.ratemyprofessors.com/professor/2728179,Associate Professor,Associate Professor,2020.0,2025,explicit,0.95,high,Dr. Jia was explicitly mentioned to have been promoted to Associate Professor with tenure in 2025.,Associate Professor
Adriana Kovashka,University of Pittsburgh,PA,R1,Computer Science,3.9,8,75.0,3.3,https://www.ratemyprofessors.com/professor/2193583,Associate Professor and Chair of the Department of Computer Science,Associate Professor,2014.0,2021,asst_prof_plus_6,0.7,medium,Tenure year estimated based on the typical promotion timeline for Assistant Professors.,"Chair, Associate Professor"
Nicholas Ruozzi,University of Texas at Dallas,TX,R1,Computer Science,3.6,32,50.0,4.8,https://www.ratemyprofessors.com/professor/2058874,Associate Professor,Associate Professor,2011.0,2021,asst_prof_plus_6,0.7,medium,Estimated tenure year based on the assumption of a 6-year tenure track after starting as Assistant Professor in 2015.,Associate Professor
Monika Akbar,University of Texas at El Paso,TX,R2,Computer Science,3.9,21,77.7778,2.4,https://www.ratemyprofessors.com/professor/1933020,Associate Professor,Associate Professor,2013.0,2023,promotion_year,0.9,high,"Dr. Akbar was promoted to Associate Professor in 2023, indicating her tenure year.",Associate Professor
Mahmud Hossain,University of Texas at El Paso,TX,R2,Computer Science,4.9,14,100.0,2.6,https://www.ratemyprofessors.com/professor/2065846,Associate Professor and Interim Chair,Associate Professor,2012.0,2019,asst_prof_plus_6,0.7,medium,Estimated tenure year based on the assumption that Dr. Hossain became tenured approximately six years after starting as an Assistant Professor in 2013.,Professor and Interim Chair
Shireen Elhabian,University of Utah,UT,R1,Computer Science,2.5,46,30.4348,3.7,https://www.ratemyprofessors.com/professor/2835730,Associate Professor of Computer Science,Associate Professor,2012.0,2023,asst_prof_plus_6,0.7,medium,"Dr. Elhabian joined the tenure-line faculty as a research assistant professor in 2017, suggesting she likely became a tenured Associate Professor around 2023.",Associate Professor
Bei Wang Phillips,University of Utah,UT,R1,Computer Science,1.5,23,13.0435,4.4,https://www.ratemyprofessors.com/professor/2276603,Associate Professor,Associate Professor,2010.0,2022,promotion_year,0.9,high,"Dr. Wang Phillips was promoted to Associate Professor in 2022, indicating she achieved tenure that year.",Associate Professor
Jason Wiese,University of Utah,UT,R1,Computer Science,2.6,23,34.7826,3.6,https://www.ratemyprofessors.com/professor/2206331,Associate Professor,Associate Professor,2015.0,2022,asst_prof_plus_6,0.7,medium,Estimated tenure year based on the assumption of a typical 6-year period from Assistant Professor start in 2016.,Associate Professor
Haitao Wang,University of Utah,UT,R1,Computer Science,4.4,16,87.5,2.5,https://www.ratemyprofessors.com/professor/2893304,Associate Professor,Associate Professor,2010.0,2018,promotion_year,0.9,high,"Dr. Wang was promoted to Associate Professor in 2018, indicating he achieved tenure that year.",Associate Professor
Ryan Stutsman,University of Utah,UT,R1,Computer Science,5.0,16,100.0,3.5,https://www.ratemyprofessors.com/professor/2136878,Associate Professor,Associate Professor,2013.0,2023,asst_prof_plus_6,0.7,medium,"Dr. Stutsman started as an Assistant Professor in 2017 and likely became tenured around 2023, which is 6 years later.",Associate Professor
Anton Burtsev,University of Utah,UT,R1,Computer Science,3.3,7,28.5714,3.1,https://www.ratemyprofessors.com/professor/2835474,Associate Professor,Associate Professor,2013.0,2024,asst_prof_plus_6,0.7,medium,Estimated tenure year based on starting as Assistant Professor in 2022 and typical tenure timeline.,Associate Professor
Chadi El Kari,University of the Pacific,CA,R2,Computer Science,5.0,8,87.5,3.3,https://www.ratemyprofessors.com/professor/2161224,Associate Professor,Associate Professor,,2019,promotion_year,0.9,high,"Promoted to Associate Professor in May 2019, but exact start year as Assistant Professor is estimated.",Full Professor
Alexander Kotov,Wayne State University,MI,R1,Computer Science,2.5,27,37.5,4.0,https://www.ratemyprofessors.com/professor/2008779,Associate Professor,Associate Professor,2011.0,2020,promotion_year,0.9,high,"Dr. Kotov was promoted to Associate Professor in August 2020, which indicates his tenure year.",Associate Professor
Suzan Arslanturk,Wayne State University,MI,R1,Computer Science,4.3,8,75.0,3.4,https://www.ratemyprofessors.com/professor/2557412,Associate Professor,Associate Professor,2015.0,2023,asst_prof_plus_6,0.7,medium,Estimated tenure year based on starting as Assistant Professor in August 2017 and adding 6 years.,Associate Professor
Scott Wehrwein,Western Washington University,WA,R2,Computer Science,3.2,69,56.5217,3.8,https://www.ratemyprofessors.com/professor/2428541,Associate Professor,Associate Professor,2018.0,2023,explicit,0.95,high,"Dr. Wehrwein was explicitly mentioned to have been promoted to Associate Professor with tenure effective September 16, 2023.",Associate Professor & Community Ambassador
Moushumi Sharmin,Western Washington University,WA,R2,Computer Science,1.9,46,23.6842,3.7,https://www.ratemyprofessors.com/professor/2060493,Associate Professor and Graduate Program Advisor,Associate Professor,2013.0,2020,promotion_year,0.9,high,"Promoted to Associate Professor with tenure in 2020, which is explicitly stated.","Professor & Graduate Program Advisor, CS Community Ambassador"
Filip Jagodzinski,Western Washington University,WA,R2,Computer Science,4.6,41,94.1176,3.4,https://www.ratemyprofessors.com/professor/2090042,Professor and Department Chair,Full Professor,2012.0,2021,explicit,0.95,high,Tenure was explicitly mentioned to be granted in 2021.,"Professor, Department Chair"
Qiang Hao,Western Washington University,WA,R2,Computer Science,4.2,35,82.8571,3.6,https://www.ratemyprofessors.com/professor/2302983,Associate Professor,Associate Professor,,2020,asst_prof_plus_6,0.7,medium,Estimated tenure year based on assumption of starting as Assistant Professor approximately six years before becoming Associate Professor.,Associate Professor
Brian Hutchinson,Western Washington University,WA,R2,Computer Science,4.6,31,100.0,3.7,https://www.ratemyprofessors.com/professor/908997,Professor,Full Professor,2013.0,2019,asst_prof_plus_6,0.7,medium,Tenure likely granted in 2019 based on the assumption of 6 years as Assistant Professor starting in 2013.,Professor & Director of Data Science
Shameem Ahmed,Western Washington University,WA,R2,Computer Science,3.6,28,70.3704,3.3,https://www.ratemyprofessors.com/professor/2121733,Associate Professor,Associate Professor,,2021,explicit,0.95,high,"Dr. Ahmed was explicitly mentioned to have been granted tenure and promoted to Associate Professor effective September 16, 2021.",Associate Professor
Caroline Hardin,Western Washington University,WA,R2,Computer Science,2.8,24,37.5,3.8,https://www.ratemyprofessors.com/professor/2573073,Associate Professor and Director of the Computer Science Education Program,Associate Professor,,2024,promotion_year,0.9,high,Dr. Hardin was promoted to Associate Professor with tenure in September 2024.,"Associate Professor, Director of Computer Science Education Program"
Tarek Idriss,Western Washington University,WA,R2,Computer Science,3.2,15,60.0,3.5,https://www.ratemyprofessors.com/professor/2592705,Associate Professor,Associate Professor,,2024,promotion_year,0.9,high,"Dr. Idriss was promoted to Associate Professor with tenure effective September 16, 2024.",Associate Professor
Yasmine Elglaly,Western Washington University,WA,R2,Computer Science,4.3,15,86.6667,3.1,https://www.ratemyprofessors.com/professor/2771091,Associate Professor,Associate Professor,,2024,explicit,0.95,high,"Dr. Elglaly was explicitly mentioned to be promoted to Associate Professor with tenure effective September 16, 2024.",Associate Professor
Kameron Harris,Western Washington University,WA,R2,Computer Science,4.5,13,84.6154,4.1,https://www.ratemyprofessors.com/professor/2623818,Associate Professor,Associate Professor,,2025,promotion_year,0.9,high,"Dr. Harris was promoted to Associate Professor in 2025, indicating that this is the year he became tenured.",Associate Professor
Michael Tsikerdekis,Western Washington University,WA,R2,Computer Science,3.6,8,62.5,2.9,https://www.ratemyprofessors.com/professor/2316089,Associate Professor,Associate Professor,2013.0,2021,promotion_year,0.9,high,Tenure is inferred to coincide with promotion to Associate Professor in September 2021.,Associate Professor
Amr Radwan,Western Washington University,WA,R2,Electrical Engineering & Computer Science,4.0,6,100.0,2.7,https://www.ratemyprofessors.com/professor/2672875,Associate Professor,Associate Professor,2016.0,2022,explicit,0.95,high,"Dr. Radwan was explicitly mentioned to have been granted tenure effective September 16, 2022.",Associate Professor in the Electrical and Computer Engineering Department
Robert Walls,Worcester Polytechnic Institute,MA,R2,Computer Science,1.8,24,16.6667,4.5,https://www.ratemyprofessors.com/professor/2458995,Associate Professor,Associate Professor,2014.0,2023,promotion_year,0.9,high,"Dr. Walls was promoted to Associate Professor with tenure in 2023, as stated in the announcement from WPI.","Associate Professor, Computer Science"
